Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.686182302074961,1.94988619508483,0.000000000000000E+000,1.57234073408676,0.000000000000000E+000,4.361414750698898E-002,4.361414750698898E-002,4.361414750698898E-002,0.128562513350658,2.636944018843528E-002,9.294299910333617E-002,0.379618189865542,0.351395524289381 
 01/01  02:00:00,0.589441070638032,2.40502635771791,0.000000000000000E+000,2.10087655315928,0.000000000000000E+000,5.827486237369704E-002,5.827486237369704E-002,5.827486237369704E-002,7.499482716199374E-002,1.538217117002709E-002,7.618584051012475E-002,0.349528357362187,0.280072601023804 
 01/01  03:00:00,0.557633284788651,2.81525876596638,0.000000000000000E+000,2.53082363185960,0.000000000000000E+000,7.020088763279934E-002,7.020088763279934E-002,7.020088763279934E-002,5.356771943759626E-002,1.098726765447209E-002,6.232654333565033E-002,0.345475854668135,0.260637086554977 
 01/01  04:00:00,0.549297293394397,2.99620729557131,0.000000000000000E+000,2.70664808974123,0.000000000000000E+000,7.507796909176194E-002,7.507796909176194E-002,7.507796909176194E-002,5.356771943759626E-002,1.098726765447209E-002,5.397647371529803E-002,0.340612851435269,0.266096145457896 
 01/01  05:00:00,0.552879665268523,3.21869376064020,0.000000000000000E+000,2.87257806146653,0.000000000000000E+000,7.968059376831539E-002,7.968059376831539E-002,7.968059376831539E-002,5.356771943759626E-002,1.098726765447209E-002,6.582291696649339E-002,0.327746155381645,0.323538959047532 
 01/01  06:00:00,0.606205806125410,3.50846861423809,0.000000000000000E+000,2.91146286107118,0.000000000000000E+000,8.075919419440061E-002,8.075919419440061E-002,8.075919419440061E-002,5.356771943759626E-002,1.098726765447209E-002,8.007824464053613E-002,0.365738368138405,0.571811925700030 
 01/01  07:00:00,0.802979646743398,3.82331515003642,0.000000000000000E+000,2.75682431919814,0.000000000000000E+000,7.646977522222456E-002,7.646977522222456E-002,7.646977522222456E-002,0.123205777980724,2.527070783085009E-002,0.140383655227083,0.422574718422518,1.03738184070966 
 01/01  08:00:00,1.09901552362269,3.82992414255722,0.000000000000000E+000,2.62983412246370,0.000000000000000E+000,7.294727589860681E-002,7.294727589860681E-002,7.294727589860681E-002,0.251768291331382,5.164014801928536E-002,0.228567473812190,0.449017298501221,1.16915953717576 
 01/01  09:00:00,1.05789696148873,3.74832928441761,0.000000000000000E+000,2.58047436984441,0.000000000000000E+000,7.157811749357652E-002,7.157811749357652E-002,7.157811749357652E-002,0.241054754093649,4.944269694347590E-002,0.301128191032485,0.379618189865542,1.14170497786452 
 01/01  10:00:00,0.908615168705156,2.75404300861282,0.000000000000000E+000,1.69126962126083,0.000000000000000E+000,4.691303935377701E-002,4.691303935377701E-002,4.691303935377701E-002,0.123205777980724,2.527070783085009E-002,0.375064854196324,0.323085777283484,1.04051767660633 
 01/01  11:00:00,0.901794963166368,2.29570075013386,0.000000000000000E+000,1.35509553488720,0.000000000000000E+000,3.758812276714277E-002,3.758812276714277E-002,3.758812276714277E-002,0.101778637007394,2.087580567923118E-002,0.395793165817765,0.330684219834836,0.917826087032854 
 01/01  12:00:00,0.885039363517691,0.934757535014380,0.000000000000000E+000,0.105109331594017,0.000000000000000E+000,2.915560090202123E-003,2.915560090202123E-003,2.915560090202123E-003,0.101778637007394,2.087580567923118E-002,0.413608816278677,0.330785532402186,0.806862096306975 
 01/01  13:00:00,0.862599595660555,0.740717171584019,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.000000000000000E+000,0.101778637007394,2.087580567923118E-002,0.399656799716067,0.325213341197862,0.718314903947274 
